"filename", "language", "TypeScript", "Markdown", "JavaScript", "CSS", "TypeScript JSX", "SCSS", "JSON with Comments", "Python", "JSON", "YAML", "Ignore", "Docker", "Shell Script", "comment", "blank", "total"
"/Users/levi/Documents/Code/createwithlevi/docs/philosophy.md", "Markdown", 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 48
"/Users/levi/Documents/Code/createwithlevi/docs/plugins/AliasRedirects.md", "Markdown", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 38
"/Users/levi/Documents/Code/createwithlevi/docs/plugins/Assets.md", "Markdown", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 21
"/Users/levi/Documents/Code/createwithlevi/docs/plugins/CNAME.md", "Markdown", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 23
"/Users/levi/Documents/Code/createwithlevi/docs/plugins/ComponentResources.md", "Markdown", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 19
"/Users/levi/Documents/Code/createwithlevi/docs/plugins/ContentIndex.md", "Markdown", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 27
"/Users/levi/Documents/Code/createwithlevi/docs/plugins/ContentPage.md", "Markdown", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 19
"/Users/levi/Documents/Code/createwithlevi/docs/plugins/CrawlLinks.md", "Markdown", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 31
"/Users/levi/Documents/Code/createwithlevi/docs/plugins/CreatedModifiedDate.md", "Markdown", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 26
"/Users/levi/Documents/Code/createwithlevi/docs/plugins/Description.md", "Markdown", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 24
"/Users/levi/Documents/Code/createwithlevi/docs/plugins/ExplicitPublish.md", "Markdown", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 19
"/Users/levi/Documents/Code/createwithlevi/docs/plugins/FolderPage.md", "Markdown", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 25
"/Users/levi/Documents/Code/createwithlevi/docs/plugins/Frontmatter.md", "Markdown", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 25
"/Users/levi/Documents/Code/createwithlevi/docs/plugins/GitHubFlavoredMarkdown.md", "Markdown", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 24
"/Users/levi/Documents/Code/createwithlevi/docs/plugins/HardLineBreaks.md", "Markdown", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 19
"/Users/levi/Documents/Code/createwithlevi/docs/plugins/Latex.md", "Markdown", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 26
"/Users/levi/Documents/Code/createwithlevi/docs/plugins/NotFoundPage.md", "Markdown", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 19
"/Users/levi/Documents/Code/createwithlevi/docs/plugins/ObsidianFlavoredMarkdown.md", "Markdown", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 35
"/Users/levi/Documents/Code/createwithlevi/docs/plugins/OxHugoFlavoredMarkdown.md", "Markdown", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 30
"/Users/levi/Documents/Code/createwithlevi/docs/plugins/RemoveDrafts.md", "Markdown", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 19
"/Users/levi/Documents/Code/createwithlevi/docs/plugins/RoamFlavoredMarkdown.md", "Markdown", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 27
"/Users/levi/Documents/Code/createwithlevi/docs/plugins/Static.md", "Markdown", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 22
"/Users/levi/Documents/Code/createwithlevi/docs/plugins/SyntaxHighlighting.md", "Markdown", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 24
"/Users/levi/Documents/Code/createwithlevi/docs/plugins/TableOfContents.md", "Markdown", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 27
"/Users/levi/Documents/Code/createwithlevi/docs/plugins/TagPage.md", "Markdown", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 23
"/Users/levi/Documents/Code/createwithlevi/docs/plugins/index.md", "Markdown", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/levi/Documents/Code/createwithlevi/docs/setting up your GitHub repository.md", "Markdown", 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 49
"/Users/levi/Documents/Code/createwithlevi/docs/showcase.md", "Markdown", 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 37
"/Users/levi/Documents/Code/createwithlevi/docs/tags/component.md", "Markdown", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
